,Names,Prices,Links
11,"<a class=""wjcEIp"" href=""/house-common-airpods-bluetooth/p/itm1081e4ddae6d3?pid=ACCH9AYKRFS6J8SG&amp;lid=LSTACCH9AYKRFS6J8SGGXQZ6O&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;srno=s_1_11&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCH9AYKRFS6J8SG.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""house of common airpods Bluetooth"">house of common airpods Bluetooth</a>",300,flipkart.com/house-common-airpods-bluetooth/p/itm1081e4ddae6d3?pid=ACCH9AYKRFS6J8SG&lid=LSTACCH9AYKRFS6J8SGGXQZ6O&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&srno=s_1_11&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCH9AYKRFS6J8SG.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
12,"<a class=""wjcEIp"" href=""/zwollex-buds-z3-magnetic-power-off-on-48hr-playtime-earphones-neckband-wt3-bluetooth/p/itmdbf353912853f?pid=ACCH8VFQ5XG9U7BZ&amp;lid=LSTACCH8VFQ5XG9U7BZT6TH0L&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;srno=s_1_12&amp;otracker=search&amp;fm=organic&amp;iid=en_ztOXHO-ccsm1pThLVpiheD03rRrpB6zU4AoOd6xJCrULi314IWNLmOeN7Bjgi3GWbAcXRxF355b4fQ45RuWSl_kIpKYKHDeNsWHfDXsezRE%3D&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""ZWOLLEX Buds Z3 - MAGNETIC POWER OFF/ON 48Hr Playtime Earphones Neckband {WT3} Bluetooth"">ZWOLLEX Buds Z3 - MAGNETIC POWER OFF/ON 48Hr Playtime E...</a>",520,flipkart.com/zwollex-buds-z3-magnetic-power-off-on-48hr-playtime-earphones-neckband-wt3-bluetooth/p/itmdbf353912853f?pid=ACCH8VFQ5XG9U7BZ&lid=LSTACCH8VFQ5XG9U7BZT6TH0L&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&srno=s_1_12&otracker=search&fm=organic&iid=en_ztOXHO-ccsm1pThLVpiheD03rRrpB6zU4AoOd6xJCrULi314IWNLmOeN7Bjgi3GWbAcXRxF355b4fQ45RuWSl_kIpKYKHDeNsWHfDXsezRE%3D&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
13,"<a class=""wjcEIp"" href=""/bullstorm-bs-ultrapood-bluetooth-gaming/p/itm51e386b341210?pid=ACCGHVS67DHEVV36&amp;lid=LSTACCGHVS67DHEVV36VGM0HG&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;spotlightTagId=default_BestsellerId_0pm%2Ffcn&amp;srno=s_1_13&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCGHVS67DHEVV36.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""BULLSTORM BS ultrapood Bluetooth Gaming"">BULLSTORM BS ultrapood Bluetooth Gaming</a>",279,flipkart.com/bullstorm-bs-ultrapood-bluetooth-gaming/p/itm51e386b341210?pid=ACCGHVS67DHEVV36&lid=LSTACCGHVS67DHEVV36VGM0HG&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&spotlightTagId=default_BestsellerId_0pm%2Ffcn&srno=s_1_13&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCGHVS67DHEVV36.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
14,"<a class=""wjcEIp"" href=""/nexx-arham-true-wirless-bluetooth-air-pods-good-sound-quality-bass-10-h-playtime/p/itm1cd35d3e77bf9?pid=ACCH74KDYEMGZWBF&amp;lid=LSTACCH74KDYEMGZWBF1SQDX2&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;srno=s_1_14&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCH74KDYEMGZWBF.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""NEXX ARHAM TRUE WIRLESS BLUETOOTH AIR_PODS WITH GOOD SOUND QUALITY BASS+10 H Playtime Bluetooth"">NEXX ARHAM TRUE WIRLESS BLUETOOTH AIR_PODS WITH GOOD SO...</a>",295,flipkart.com/nexx-arham-true-wirless-bluetooth-air-pods-good-sound-quality-bass-10-h-playtime/p/itm1cd35d3e77bf9?pid=ACCH74KDYEMGZWBF&lid=LSTACCH74KDYEMGZWBF1SQDX2&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&srno=s_1_14&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCH74KDYEMGZWBF.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
15,"<a class=""wjcEIp"" href=""/sezarr-airpods-pro-earbuds-type-c-fast-charge-25h-play-anc-hi-fi-sound-ipx5-bluetooth/p/itm7f42a06e90346?pid=ACCH9TD8NGBHERZH&amp;lid=LSTACCH9TD8NGBHERZHG8382Z&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;srno=s_1_15&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCH9TD8NGBHERZH.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""Sezarr AirPods Pro Earbuds - Type-C Fast Charge, 25H Play, ANC, Hi-Fi Sound, IPX5 Bluetooth"">Sezarr AirPods Pro Earbuds - Type-C Fast Charge, 25H Pl...</a>",300,flipkart.com/sezarr-airpods-pro-earbuds-type-c-fast-charge-25h-play-anc-hi-fi-sound-ipx5-bluetooth/p/itm7f42a06e90346?pid=ACCH9TD8NGBHERZH&lid=LSTACCH9TD8NGBHERZHG8382Z&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&srno=s_1_15&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCH9TD8NGBHERZH.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
16,"<a class=""wjcEIp"" href=""/tedbee-air-touch-control-mic-bluetooth/p/itma19721824c2ba?pid=ACCHBPWCWF6ZZGY6&amp;lid=LSTACCHBPWCWF6ZZGY6XMIYPI&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;srno=s_1_16&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCHBPWCWF6ZZGY6.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""Tedbee Air Touch Control &amp; Mic Bluetooth"">Tedbee Air Touch Control &amp; Mic Bluetooth</a>",295,flipkart.com/tedbee-air-touch-control-mic-bluetooth/p/itma19721824c2ba?pid=ACCHBPWCWF6ZZGY6&lid=LSTACCHBPWCWF6ZZGY6XMIYPI&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&srno=s_1_16&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCHBPWCWF6ZZGY6.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
17,"<a class=""wjcEIp"" href=""/werox-earbuds-gaming-pods-200h-playtime-quad-mic-enc-13mm-driver-type-c-bluetooth/p/itm4d8c8dd6bc0d0?pid=ACCH95G9TXQHHZBA&amp;lid=LSTACCH95G9TXQHHZBA99U0ST&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;srno=s_1_17&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCH95G9TXQHHZBA.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""WEROX Earbuds with Gaming Pods, 200H Playtime, Quad Mic ENC, 13mm driver, Type C Bluetooth Gaming"">WEROX Earbuds with Gaming Pods, 200H Playtime, Quad Mic...</a>",634,flipkart.com/werox-earbuds-gaming-pods-200h-playtime-quad-mic-enc-13mm-driver-type-c-bluetooth/p/itm4d8c8dd6bc0d0?pid=ACCH95G9TXQHHZBA&lid=LSTACCH95G9TXQHHZBA99U0ST&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&srno=s_1_17&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCH95G9TXQHHZBA.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
18,"<a class=""wjcEIp"" href=""/tedbee-air-touch-mic-sound-boost-bluetooth/p/itm06ce8bd4576be?pid=ACCHBPWCNGKGVTVG&amp;lid=LSTACCHBPWCNGKGVTVGUK8WKW&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;srno=s_1_18&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCHBPWCNGKGVTVG.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""Tedbee Air Touch Mic &amp; Sound Boost Bluetooth"">Tedbee Air Touch Mic &amp; Sound Boost Bluetooth</a>",295,flipkart.com/tedbee-air-touch-mic-sound-boost-bluetooth/p/itm06ce8bd4576be?pid=ACCHBPWCNGKGVTVG&lid=LSTACCHBPWCNGKGVTVGUK8WKW&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&srno=s_1_18&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCHBPWCNGKGVTVG.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
19,"<a class=""wjcEIp"" href=""/u7-tws-airbuds-pro-true-wireless-bluetooth-headphone-earphone-case/p/itmfa727fb2f44a1?pid=ACCHBF7CPKU4UPFV&amp;lid=LSTACCHBF7CPKU4UPFVGBHNW8&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;srno=s_1_19&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCHBF7CPKU4UPFV.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""U7 Tws Airbuds Pro, True Wireless Bluetooth Headphone, Tws Earphone with Case Bluetooth"">U7 Tws Airbuds Pro, True Wireless Bluetooth Headphone, ...</a>",492,flipkart.com/u7-tws-airbuds-pro-true-wireless-bluetooth-headphone-earphone-case/p/itmfa727fb2f44a1?pid=ACCHBF7CPKU4UPFV&lid=LSTACCHBF7CPKU4UPFVGBHNW8&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&srno=s_1_19&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCHBF7CPKU4UPFV.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
20,"<a class=""wjcEIp"" href=""/muzigi-hi-fi-wireless-earbuds-high-bass-active-noise-cancellation-bk116-bluetooth/p/itm7079b55a9ed70?pid=ACCH669VRM9TBSP8&amp;lid=LSTACCH669VRM9TBSP8QXQXJW&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;srno=s_1_20&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCH669VRM9TBSP8.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""Muzigi Hi-Fi Wireless Earbuds High Bass Active Noise Cancellation BK116 Bluetooth"">Muzigi Hi-Fi Wireless Earbuds High Bass Active Noise Ca...</a>",595,flipkart.com/muzigi-hi-fi-wireless-earbuds-high-bass-active-noise-cancellation-bk116-bluetooth/p/itm7079b55a9ed70?pid=ACCH669VRM9TBSP8&lid=LSTACCH669VRM9TBSP8QXQXJW&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&srno=s_1_20&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCH669VRM9TBSP8.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
